!SIL 1.0	sil
<UNK> 1.0	spn
zwyciężył	1.0	z v i2 tsj eo5 Z i2 w
wygrałam	1.0	v i2 g r a w a m
określona	1.0	o k r e sj l o n a
odrzuceniem	1.0	o d Z u c e n i e m
puchatek	1.0	p u h a t e k
czytał	1.0	tS i2 t a w
dokładnie	1.0	d o k w a d n i e
swych	1.0	s v i2 h
pamięta	1.0	p a m i eo5 t a
powodu	1.0	p o v o d u
fakt	1.0	f a k t
niosącą	1.0	n i o s oc5 c oc5
czasie	1.0	tS a sj e
czyhającego	1.0	tS i2 h a j oc5 c e g o
wf	1.0	v f
filharmonii	1.0	f i l h a r m o n i i
zwrócić	1.0	z v r u tsj i tsj
stałaś	1.0	s t a w a sj
wysokiego	1.0	v i2 s o k i e g o
wzruszyłaś	1.0	v z r u S i2 w a sj
spędziła	1.0	s p eo5 dzj i w a
dostrzegłby	1.0	d o s t S e g w b i2
szczęśliwym	1.0	S tS eo5 sj l j v i2 m
lęk	1.0	l eo5 k
remake	1.0	r e m a k e
zganiał	1.0	z g a n i a w
wciąż	1.0	v tsj oc5 S
b-29	1.0	b e d eo5 tsj
istnienia	1.0	i s t n i e n i a
zdaje	1.0	z d a j e
bronią	1.0	b r o n i oc5
przypisana	1.0	p S i2 p i s a n a
przyczynach	1.0	p S i2 tS i2 n a h
pogrzebania	1.0	p o g Z e b a n i a
dziele	1.0	dzj e l e
użycia	1.0	u Z i2 tsj a
dźwięki	1.0	dzj v i eo5 k i
buduje	1.0	b u d u j e
ujmującą	1.0	u j m u j oc5 c oc5
zajmujący	1.0	z a j m u j oc5 c i2
plan	1.0	p l a n
zostawiając	1.0	z o s t a v i a j oc5 c
ukojonej	1.0	u k o j o n e j
gazet	1.0	g a z e t
mikołaja	1.0	m i k o w a j a
serialach	1.0	s e r j a l a h
zamachy	1.0	z a m a h i2
swoich	1.0	s v o i h
status	1.0	s t a t u s
podatków	1.0	p o d a t k u v
rozumiem	1.0	r o z u m i e m
próg	1.0	p r u g
świetna	1.0	sj v i e t n a
windzie	1.0	v i n dzj e
magiczną	1.0	m a g i tS n oc5
śmierci	1.0	sj m i e r tsj i
daleko	1.0	d a l e k o
podobnego	1.0	p o d o b n e g o
traciłam	1.0	t r a tsj i w a m
sensie	1.0	s e n sj e
razu	1.0	r a z u
podwajał	1.0	p o d v a j a w
siatkowym	1.0	tsj a t k o v i2 m
witherspoon	1.0	v i t h e r s p o o n
podnosić	1.0	p o d n o sj i tsj
państwa	1.0	p a n~ s t f a
względów	1.0	v z g l eo5 d u v
facet	1.0	f a c e t
wywiadowi	1.0	v i2 v i a d o v i
anarchistkę	1.0	a n a r h j s t k e
nęcąca	1.0	n eo5 c oc5 c a
zmarłemu	1.0	z m a r w e m u
zaciągi	1.0	z a tsj oc5 g i
kochać	1.0	k o h a tsj
kręgi	1.0	k r eo5 g i
furii	1.0	f u r j i
konspiratorzy	1.0	k o n s p i r a t o Z i2
gruba	1.0	g r u b a
przebywa	1.0	p S e b i2 v a
zasadzie	1.0	z a s a dzj e
podarować	1.0	p o d a r o v a tsj
używając	1.0	u Z i2 v a j oc5 c
wirefusion	1.0	v i r e f u sj o n
nieskończonych	1.0	n i e s k o n~ tS o n i2 h
badania	1.0	b a d a n i a
wagi	1.0	v a g i
toczonych	1.0	t o tS o n i2 h
przychodzę	1.0	p S i2 h o dz e
miłość-	1.0	m i w o sj tsj e
brakiem	1.0	b r a k i e m
kalkulacyjny	1.0	k a l k u l a c i2 j n i2
wypada	1.0	v i2 p a d a
ziemię	1.0	zj e m i e
dziedzinie	1.0	dzj e dzj i n i e
zbawienia	1.0	z b a v i e n i a
szpad	1.0	S p a d
robisz	1.0	r o b i S
od	1.0	o d
aż	1.0	a S
gdzież	1.0	g dzj e S
przybiorą	1.0	p S i2 b i o r oc5
przymocowane	1.0	p S i2 m o c o v a n e
rozumu	1.0	r o z u m u
zmniejsza	1.0	z m n i e j S a
rozległość	1.0	r o z l e g w o sj tsj
wspólnej	1.0	v s p u l n e j
paliłem	1.0	p a l j w e m
ogródek	1.0	o g r u d e k
start	1.0	s t a r t
dziewictwa	1.0	dzj e v i c t f a
ostatnim	1.0	o s t a t n i m
iluzji	1.0	i l u z j i
nieodwołalną	1.0	n i e o d v o w a l n oc5
poskrzypiałem	1.0	p o s k S i2 p i a w e m
unikaj	1.0	u n i k a j
chłopak	1.0	h w o p a k
ostatni	1.0	o s t a t n i
talerzem	1.0	t a l e Z e m
love	1.0	l o f e
zyskałam	1.0	z i2 s k a w a m
kresu	1.0	k r e s u
nasz	1.0	n a S
podejrzeń	1.0	p o d e j Z e n~
sprawiedliwości	1.0	s p r a v i e d l j v o sj tsj i
lasy	1.0	l a s i2
paranoją	1.0	p a r a n o j oc5
chciałoby	1.0	h tsj a w o b i2
domogarow	1.0	d o m o g a r o v
nabierający	1.0	n a b i e r a j oc5 c i2
ok	1.0	o k
emocjonalnych	1.0	e m o c j o n a l n i2 h
kubusia	1.0	k u b u tsj a
radośnie	1.0	r a d o sj n i e
biodrach	1.0	b i o d r a h
częściej	1.0	tS eo5 sj tsj e j
kojarzy	1.0	k o j a Z i2
powodować	1.0	p o v o d o v a tsj
obiektu	1.0	o b i e k t u
big	1.0	b i g
stał	1.0	s t a w
dziady	1.0	dzj a d i2
kolejnego	1.0	k o l e j n e g o
niczym	1.0	n i tS i2 m
futrzaną	1.0	f u t S a n oc5
domogarowa	1.0	d o m o g a r o v a
prosto	1.0	p r o s t o
skromnie	1.0	s k r o m n i e
podobnych	1.0	p o d o b n i2 h
jednocześnie	1.0	j e d n o tS e sj n i e
ma-	1.0	m a e
lubi	1.0	l u b i
literackiego	1.0	l j t e r a c k i e g o
ważniejsze	1.0	v a Z n i e j S e
even	1.0	e f e n
zakochać	1.0	z a k o h a tsj
popularna	1.0	p o p u l a r n a
włoch	1.0	v w o h
zainteresowanie	1.0	z a i n t e r e s o v a n i e
szerszą	1.0	S e r S oc5
narzędziem	1.0	n a Z eo5 dzj e m
103	1.0	s t o S i2
bywa	1.0	b i2 v a
zlikwidować	1.0	z l j k f i d o v a tsj
mistrz	1.0	m i s t S
grabów	1.0	g r a b u v
zaprawieni	1.0	z a p r a v i e n i
spędzonych	1.0	s p eo5 dz o n i2 h
zrozumiał	1.0	z r o z u m i a w
dziwi	1.0	dzj i v i
zabójczym	1.0	z a b u j tS i2 m
kiszonych	1.0	k i S o n i2 h
dzieł	1.0	dzj e w
małego	1.0	m a w e g o
albumu	1.0	a l b u m u
potrawa	1.0	p o t r a v a
przyzwoitości-	1.0	p S i2 z v o i t o sj tsj i e
chętka	1.0	h eo5 t k a
współczesności	1.0	v s p u w tS e s n o sj tsj i
zrobienia	1.0	z r o b i e n i a
przypuszczać	1.0	p S i2 p u S tS a tsj
ujęć	1.0	u j eo5 tsj
głąb	1.0	g w oc5 b
włoskiego	1.0	v w o s k i e g o
pułapki	1.0	p u w a p k i
małe	1.0	m a w e
wenus	1.0	v e n u s
jakąkolwiek	1.0	j a k oc5 k o l v i e k
równię	1.0	r u v n i e
ciebie	1.0	tsj e b i e
sprawiedliwość	1.0	s p r a v i e d l j v o sj tsj
kupującym	1.0	k u p u j oc5 c i2 m
trzema	1.0	t S e m a
nieczytany	1.0	n i e tS i2 t a n i2
miecz	1.0	m i e tS
dorośli	1.0	d o r o sj l j
d	1.0	d
przygotował	1.0	p S i2 g o t o v a w
inna	1.0	i n n a
dowodzą	1.0	d o v o dz oc5
bombowe	1.0	b o m b o v e
został	1.0	z o s t a w
nachylił	1.0	n a h i2 l j w
dobiega	1.0	d o b i e g a
oblepiony	1.0	o b l e p i o n i2
eucharystii	1.0	e u h a r i2 s t j i
rzeczywisty	1.0	Z e tS i2 v i s t i2
hipercieniutkich	1.0	h j p e r tsj e n i u t k i h
sytuacja	1.0	s i2 t u a c j a
nikołajewicza	1.0	n i k o w a j e v i tS a
kultowym	1.0	k u l t o v i2 m
koniecznie	1.0	k o n i e tS n i e
szczęśliwa	1.0	S tS eo5 sj l j v a
biblijne	1.0	b i b l j j n e
polowaniu	1.0	p o l o v a n i u
ręce	1.0	r eo5 c e
intymne	1.0	i n t i2 m n e
twoich	1.0	t f o i h
ud	1.0	u d
huczy	1.0	h u tS i2
róża	1.0	r u Z a
widzimy	1.0	v i dzj i m i2
formą	1.0	f o r m oc5
córkę	1.0	c u r k e
jerzego	1.0	j e Z e g o
wymyśliłam	1.0	v i2 m i2 sj l j w a m
zejdź	1.0	z e j dzj
biedy	1.0	b i e d i2
uchodził	1.0	u h o dzj i w
czerpać	1.0	tS e r p a tsj
przeszukiwała	1.0	p S e S u k i v a w a
planet	1.0	p l a n e t
struchlała	1.0	s t r u h l a w a
nakładam	1.0	n a k w a d a m
mówi	1.0	m u v i
drewnianych	1.0	d r e v n i a n i2 h
równie	1.0	r u v n i e
zdumiewać	1.0	z d u m i e v a tsj
ojcze	1.0	o j tS e
zachodnich	1.0	z a h o d n i h
głosząc	1.0	g w o S oc5 c
metafory	1.0	m e t a f o r i2
rokujące	1.0	r o k u j oc5 c e
rozwija	1.0	r o z v i j a
ołowiu	1.0	o w o v i u
szept	1.0	S e p t
prousta	1.0	p r o u s t a
ogromną	1.0	o g r o m n oc5
czy	1.0	tS i2
morza	1.0	m o Z a
kierkegaarda	1.0	k i e r k e g a a r d a
pomści	1.0	p o m sj tsj i
idioty	1.0	i d j o t i2
mogąc	1.0	m o g oc5 c
obietnicą	1.0	o b i e t n i c oc5
szyi	1.0	S i2 i
wystarczy	1.0	v i2 s t a r tS i2
przyjaciel	1.0	p S i2 j a tsj e l
szedł	1.0	S e d w
łowiłem	1.0	w o v i w e m
umarli	1.0	u m a r l j
podstawowymi	1.0	p o d s t a v o v i2 m i
słowiańską	1.0	s w o v i a n~ s k oc5
morskim	1.0	m o r s k i m
główny	1.0	g w u v n i2
surowa	1.0	s u r o v a
generacja	1.0	g e n e r a c j a
starokawalerskie	1.0	s t a r o k a v a l e r s k i e
radio	1.0	r a d j o
a	1.0	a
impreza	1.0	i m p r e z a
lekkomyślny	1.0	l e k k o m i2 sj l n i2
300	1.0	o t
wojny	1.0	v o j n i2
własne	1.0	v w a s n e
skóry	1.0	s k u r i2
rozwiązywać	1.0	r o z v i oc5 z i2 v a tsj
praktyce	1.0	p r a k t i2 c e
jedynie	1.0	j e d i2 n i e
zabrał	1.0	z a b r a w
szkół	1.0	S k u w
spontaniczny	1.0	s p o n t a n i tS n i2
zbigniewa	1.0	z b i g n i e v a
rybczyńskiego	1.0	r i2 b tS i2 n~ s k i e g o
przezwyciężyć	1.0	p S e z v i2 tsj eo5 Z i2 tsj
podległych	1.0	p o d l e g w i2 h
pojednany	1.0	p o j e d n a n i2
ulicy	1.0	u l j c i2
dotknęło	1.0	d o t k n eo5 w o
muły	1.0	m u w i2
gwałciciel	1.0	g v a w c i tsj e l
szaty	1.0	S a t i2
marii	1.0	m a r j i
tobie	1.0	t o b i e
rezydentem	1.0	r e z i2 d e n t e m
słowy	1.0	s w o v i2
atletami	1.0	a t l e t a m i
dzisiejszym	1.0	dzj i sj e j S i2 m
językiem	1.0	j eo5 z i2 k i e m
cywilizacyjnego	1.0	c i2 v i l j z a c i2 j n e g o
hemoroidów	1.0	h e m o r o i d u v
podjąłeś	1.0	p o d j oc5 w e sj
nieodpartą	1.0	n i e o d p a r t oc5
grunt	1.0	g r u n t
ostatnio	1.0	o s t a t n i o
wreszcie	1.0	v r e S tsj e
niechaj	1.0	n i e h a j
uchronić	1.0	u h r o n i tsj
polami	1.0	p o l a m i
stendhala	1.0	s t e n d h a l a
zatem	1.0	z a t e m
zakorzenione	1.0	z a k o Z e n i o n e
dla	1.0	d l a
by	1.0	b i2
siecią	1.0	sj e tsj oc5
hokejowego	1.0	h o k e j o v e g o
conieco	1.0	c o n i e c o
zakazuje	1.0	z a k a z u j e
warunki	1.0	v a r u n k i
wstępie	1.0	v s t eo5 p i e
powinien	1.0	p o v i n i e n
skupionej	1.0	s k u p i o n e j
tuszem	1.0	t u S e m
wiemy	1.0	v i e m i2
uduchowioną	1.0	u d u h o v i o n oc5
interaktywne	1.0	i n t e r a k t i2 v n e
to-	1.0	t o
krem	1.0	k r e m
idealną	1.0	i d e a l n oc5
zobaczyć	1.0	z o b a tS i2 tsj
przygotowany	1.0	p S i2 g o t o v a n i2
przyjaciela	1.0	p S i2 j a tsj e l a
wyrzec	1.0	v i2 Z e c
wyszło	1.0	v i2 S w o
kawałki	1.0	k a v a w k i
ubierała	1.0	u b i e r a w a
udzielić	1.0	u dzj e l j tsj
może	1.0	m o Z e
wspieranie	1.0	v s p i e r a n i e
przeklęty	1.0	p S e k l eo5 t i2
dysku	1.0	d i2 s k u
naukowiec	1.0	n a u k o v i e c
optymizmu	1.0	o p t i2 m i z m u
baletem	1.0	b a l e t e m
używam	1.0	u Z i2 v a m
leczy	1.0	l e tS i2
udaną	1.0	u d a n oc5
molestowania	1.0	m o l e s t o v a n i a
serii	1.0	s e r j i
mówią	1.0	m u v i oc5
mcintosh	1.0	m tsj i n t o s h
nią	1.0	n i oc5
wyznaniem	1.0	v i2 z n a n i e m
dbać	1.0	d b a tsj
czasu	1.0	tS a s u
perspektywy	1.0	p e r s p e k t i2 v i2
potomnym	1.0	p o t o m n i2 m
plwocina	1.0	p l v o tsj i n a
znanej	1.0	z n a n e j
kurtynę	1.0	k u r t i2 n e
banku	1.0	b a n k u
piszę	1.0	p i S e
wszechstronnie	1.0	v S e h s t r o n n i e
zdaniach	1.0	z d a n i a h
encyklopedii	1.0	e n c i2 k l o p e d j i
prawni	1.0	p r a v n i
tytuł	1.0	t i2 t u w
wiem	1.0	v i e m
taśmie	1.0	t a sj m i e
obok	1.0	o b o k
francuskiej	1.0	f r a n c u s k i e j
chociaż	1.0	h o tsj a S
zafałszowanie	1.0	z a f a w S o v a n i e
oryginału	1.0	o r i2 g i n a w u
urodzenia	1.0	u r o dz e n i a
książce	1.0	k tsj oc5 Z c e
doświadczasz	1.0	d o sj v i a d tS a S
rezygnacji	1.0	r e z i2 g n a c j i
nieszczęścia	1.0	n i e S tS eo5 sj tsj a
biedni	1.0	b i e d n i
graf	1.0	g r a f
odległym	1.0	o d l e g w i2 m
historyczne	1.0	h j s t o r i2 tS n e
miejsce	1.0	m i e j s c e
przytrafiło	1.0	p S i2 t r a f i w o
wannie	1.0	v a n n i e
zginając	1.0	z g i n a j oc5 c
wspaniały	1.0	v s p a n i a w i2
wielkości	1.0	v i e l k o sj tsj i
myszkina-	1.0	m i2 S k i n a e
sprawia	1.0	s p r a v i a
wynoszenie	1.0	v i2 n o S e n i e
odleciał	1.0	o d l e tsj a w
hillary	1.0	h j l l a r i2
określić-	1.0	o k r e sj l j tsj e
rest	1.0	r e s t
r	1.0	r
starokawalerskich	1.0	s t a r o k a v a l e r s k i h
problemami	1.0	p r o b l e m a m i
mury	1.0	m u r i2
dębowych	1.0	d eo5 b o v i2 h
pani	1.0	p a n i
sponsorowi	1.0	s p o n s o r o v i
dzisiaj	1.0	dzj i tsj a j
trwoni	1.0	t r v o n i
jawna	1.0	j a v n a
wargi	1.0	v a r g i
klawesynie	1.0	k l a v e s i2 n i e
kolorowej	1.0	k o l o r o v e j
100	1.0	s t o t
krążka	1.0	k r oc5 Z k a
istniejące	1.0	i s t n i e j oc5 c e
eksperci	1.0	e k s p e r tsj i
1	1.0	s t
wzorce	1.0	v z o r c e
wynalazcy	1.0	v i2 n a l a z c i2
najdrobniejsza	1.0	n a j d r o b n i e j S a
jednej	1.0	j e d n e j
telewizji	1.0	t e l e v i z j i
kordiana	1.0	k o r d j a n a
wayne	1.0	v a i2 n e
twoje	1.0	t f o j e
pozwoli	1.0	p o z v o l j
dążeniu	1.0	d oc5 Z e n i u
wraz	1.0	v r a z
zrezygnowała	1.0	z r e z i2 g n o v a w a
teoria	1.0	t e o r j a
nawilżający	1.0	n a v i l Z a j oc5 c i2
wódz	1.0	v u dz
literki	1.0	l j t e r k i
zwykle	1.0	z v i2 k l e
wstają	1.0	v s t a j oc5
stąpać	1.0	s t oc5 p a tsj
have	1.0	h a f e
wosk	1.0	v o s k
rzekomej	1.0	Z e k o m e j
trader.pl	1.0	t r a d e r p l
dano	1.0	d a n o
ustrzec	1.0	u s t S e c
za	1.0	z a
robimy	1.0	r o b i m i2
5	1.0	n tsj
ufać	1.0	u f a tsj
absurd	1.0	a b s u r d
gdyby	1.0	g d i2 b i2
stuprocentowych	1.0	s t u p r o c e n t o v i2 h
prywatny	1.0	p r i2 v a t n i2
igrać	1.0	i g r a tsj
kłopot	1.0	k w o p o t
pisarza	1.0	p i s a Z a
faktycznie	1.0	f a k t i2 tS n i e
wiedziony	1.0	v i e dzj o n i2
właściwie	1.0	v w a sj tsj i v i e
cnoty	1.0	c n o t i2
manierę	1.0	m a n i e r e
lolkiem	1.0	l o l k i e m
umierania	1.0	u m i e r a n i a
pisałem	1.0	p i s a w e m
kontekst	1.0	k o n t e k s t
twojego	1.0	t f o j e g o
pępkiem	1.0	p eo5 p k i e m
uczesanie	1.0	u tS e s a n i e
publiczni	1.0	p u b l j tS n i
kostiumów	1.0	k o s t j u m u v
muszą	1.0	m u S oc5
przeprowadzać	1.0	p S e p r o v a dz a tsj
pokolenie	1.0	p o k o l e n i e
przypadku	1.0	p S i2 p a t k u
rodzaju	1.0	r o dz a j u
zagrałaś	1.0	z a g r a w a sj
ostatniej	1.0	o s t a t n i e j
rozgrywa	1.0	r o z g r i2 v a
nam	1.0	n a m
życia	1.0	Z i2 tsj a
deski	1.0	d e s k i
mechaniczna	1.0	m e h a n i tS n a
uczucia	1.0	u tS u tsj a
jaw	1.0	j a v
twierdzimy	1.0	t f i e r dzj i m i2
doznawszy	1.0	d o z n a v S i2
rzędu	1.0	Z eo5 d u
wcielił	1.0	v tsj e l j w
nowiem	1.0	n o v i e m
który	1.0	k t u r i2
niemców	1.0	n i e m c u v
pokazują	1.0	p o k a z u j oc5
serię	1.0	s e r j e
wypędzony	1.0	v i2 p eo5 dz o n i2
odczuwamy	1.0	o d tS u v a m i2
pełnym	1.0	p e w n i2 m
sposoby	1.0	s p o s o b i2
południowych	1.0	p o w u d n i o v i2 h
rozwiązaniem	1.0	r o z v i oc5 z a n i e m
źródła	1.0	zj r u d w a
szóstą	1.0	S u s t oc5
chcą	1.0	h c oc5
kosmetyków	1.0	k o s m e t i2 k u v
wewnętrznie	1.0	v e v n eo5 t S n i e
zawsze	1.0	z a v S e
wędrując	1.0	v eo5 d r u j oc5 c
wiarą	1.0	v i a r oc5
biochemik	1.0	b i o h e m i k
zające	1.0	z a j oc5 c e
pomalowała	1.0	p o m a l o v a w a
kwiatów	1.0	k f i a t u v
działalności	1.0	dzj a w a l n o sj tsj i
reasumując	1.0	r e a s u m u j oc5 c
prawdę	1.0	p r a v d e
rozmowy	1.0	r o z m o v i2
tancerką	1.0	t a n c e r k oc5
wieży	1.0	v i e Z i2
książkę	1.0	k tsj oc5 Z k e
niepotrzebującym	1.0	n i e p o t S e b u j oc5 c i2 m
czynienia	1.0	tS i2 n i e n i a
wyszukiwarki	1.0	v i2 S u k i v a r k i
udowodnienie	1.0	u d o v o d n i e n i e
cesarza-	1.0	c e s a Z a e
zasypia	1.0	z a s i2 p i a
odbywać	1.0	o d b i2 v a tsj
wystawione	1.0	v i2 s t a v i o n e
instrukcja	1.0	i n s t r u k c j a
figurę	1.0	f i g u r e
utkanym	1.0	u t k a n i2 m
poznaniem	1.0	p o z n a n i e m
świętego	1.0	sj v i eo5 t e g o
wyglądasz	1.0	v i2 g l oc5 d a S
lokalnej	1.0	l o k a l n e j
neuschwanstein	1.0	n e u s h v a n s t e i n
twoją	1.0	t f o j oc5
tym	1.0	t i2 m
europy	1.0	e u r o p i2
doznając	1.0	d o z n a j oc5 c
wichry	1.0	v i h r i2
pojawia	1.0	p o j a v i a
łabędzie	1.0	w a b eo5 dzj e
ważny	1.0	v a Z n i2
mi	1.0	m i
młot	1.0	m w o t
och	1.0	o h
będziemy	1.0	b eo5 dzj e m i2
niepodzielną	1.0	n i e p o dzj e l n oc5
iluzoryczna	1.0	i l u z o r i2 tS n a
kręcących	1.0	k r eo5 c oc5 c i2 h
granic	1.0	g r a n i c
doświadczeniu	1.0	d o sj v i a d tS e n i u
prozac	1.0	p r o z a c
postępowania-	1.0	p o s t eo5 p o v a n i a e
nieogarnione	1.0	n i e o g a r n i o n e
wieści	1.0	v i e sj tsj i
powtarzając	1.0	p o v t a Z a j oc5 c
naładowanych	1.0	n a w a d o v a n i2 h
wisły	1.0	v i s w i2
rozsądku	1.0	r o z s oc5 t k u
jelenich	1.0	j e l e n i h
zbudował	1.0	z b u d o v a w
zawodowa	1.0	z a v o d o v a
dzieckiem	1.0	dzj e c k i e m
targać	1.0	t a r g a tsj
ulotne	1.0	u l o t n e
znika	1.0	z n i k a
artystów	1.0	a r t i2 s t u v
dzień	1.0	dzj e n~
południowe	1.0	p o w u d n i o v e
pomyśle	1.0	p o m i2 sj l e
6	1.0	tsj e
powiedz	1.0	p o v i e dz
d)-	1.0	d e
zginął	1.0	z g i n oc5 w
polskiego	1.0	p o l s k i e g o
pecha	1.0	p e h a
łatwo	1.0	w a t f o
wszelkiego	1.0	v S e l k i e g o
dłonie	1.0	d w o n i e
kozła	1.0	k o z w a
równoległego	1.0	r u v n o l e g w e g o
kafkowski	1.0	k a f k o v s k i
jenże	1.0	j e n Z e
uzyskać	1.0	u z i2 s k a tsj
wzmocnić	1.0	v z m o c n i tsj
dziwnie	1.0	dzj i v n i e
potrzebują	1.0	p o t S e b u j oc5
zapartym	1.0	z a p a r t i2 m
kochankami	1.0	k o h a n k a m i
widzenia	1.0	v i dz e n i a
najpierw	1.0	n a j p i e r v
uczynił	1.0	u tS i2 n i w
896	1.0	o sj eo5 tsj tsj e
osadzoną	1.0	o s a dz o n oc5
boisz	1.0	b o i S
instynkt	1.0	i n s t i2 n k t
mówić	1.0	m u v i tsj
historia	1.0	h j s t o r j a
stref	1.0	s t r e f
piętrze	1.0	p i eo5 t S e
wieść	1.0	v i e sj tsj
archiwizacją	1.0	a r h j v i z a c j oc5
wojennej	1.0	v o j e n n e j
niewiele	1.0	n i e v i e l e
karierę	1.0	k a r j e r e
romansów	1.0	r o m a n s u v
emerytowany	1.0	e m e r i2 t o v a n i2
oczu	1.0	o tS u
problemy	1.0	p r o b l e m i2
nikogo	1.0	n i k o g o
doszedł	1.0	d o S e d w
odkryto	1.0	o t k r i2 t o
wyjechać	1.0	v i2 j e h a tsj
litaka	1.0	l j t a k a
tłumacz	1.0	t w u m a tS
żartuje	1.0	Z a r t u j e
pewno	1.0	p e v n o
niebieskiemu	1.0	n i e b i e s k i e m u
czeka	1.0	tS e k a
stron	1.0	s t r o n
swym	1.0	s v i2 m
żyje	1.0	Z i2 j e
doświadczenia	1.0	d o sj v i a d tS e n i a
epokę	1.0	e p o k e
brakujące	1.0	b r a k u j oc5 c e
potrafimy	1.0	p o t r a f i m i2
sprawić	1.0	s p r a v i tsj
animacja	1.0	a n i m a c j a
dzikie	1.0	dzj i k i e
zamiast	1.0	z a m i a s t
jesteście	1.0	j e s t e sj tsj e
winy	1.0	v i n i2
rewolucję	1.0	r e v o l u c j e
klucz	1.0	k l u tS
papież	1.0	p a p i e S
straszliwą	1.0	s t r a S l j v oc5
andrzej	1.0	a n d Z e j
n	1.0	n
szczęście	1.0	S tS eo5 sj tsj e
ponieważ	1.0	p o n i e v a S
książkach	1.0	k tsj oc5 Z k a h
wracam	1.0	v r a c a m
błahym	1.0	b w a h i2 m
rokiem	1.0	r o k i e m
tych	1.0	t i2 h
dalekich	1.0	d a l e k i h
margrafom	1.0	m a r g r a f o m
uprawianie	1.0	u p r a v i a n i e
wiadomości	1.0	v i a d o m o sj tsj i
dało	1.0	d a w o
pochłonięte	1.0	p o h w o n i eo5 t e
hierarchię	1.0	h j e r a r h j e
wydającą	1.0	v i2 d a j oc5 c oc5
udało	1.0	u d a w o
alkoholicy	1.0	a l k o h o l j c i2
organizacji	1.0	o r g a n i z a c j i
niewymagającym	1.0	n i e v i2 m a g a j oc5 c i2 m
kolidować	1.0	k o l j d o v a tsj
kolorów	1.0	k o l o r u v
przekroczył	1.0	p S e k r o tS i2 w
śpiewka	1.0	sj p i e v k a
porażki	1.0	p o r a Z k i
wytatuowałeś	1.0	v i2 t a t u o v a w e sj
oscar	1.0	o s c a r
boju	1.0	b o j u
chałupniczym	1.0	h a w u p n i tS i2 m
pornografię	1.0	p o r n o g r a f i e
szybkość	1.0	S i2 b k o sj tsj
przypadkowe	1.0	p S i2 p a t k o v e
język	1.0	j eo5 z i2 k
skąd	1.0	s k oc5 d
wyprowadzając	1.0	v i2 p r o v a dz a j oc5 c
messyny	1.0	m e S i2 n i2
tajlandzka	1.0	t a j l a n dz k a
spoczywa	1.0	s p o tS i2 v a
twoim	1.0	t f o i m
czynności	1.0	tS i2 n n o sj tsj i
informacji	1.0	i n f o r m a c j i
nakrycia	1.0	n a k r i2 tsj a
wysnuć	1.0	v i2 s n u tsj
wystawił	1.0	v i2 s t a v i w
b-1b	1.0	b e tS t b
krzyża	1.0	k S i2 Z a
kobiecych	1.0	k o b i e c i2 h
rytuałem	1.0	r i2 t u a w e m
żałośnie	1.0	Z a w o sj n i e
kołysany	1.0	k o w i2 s a n i2
wajdzie	1.0	v a j dzj e
trzeba	1.0	t S e b a
postąpisz	1.0	p o s t oc5 p i S
pisarz	1.0	p i s a S
mówiąc	1.0	m u v i oc5 c
zaszczepiona	1.0	z a S tS e p i o n a
ujarzmił	1.0	u j a Z m i w
orfeuszu	1.0	o r f e u S u
cichego	1.0	tsj i h e g o
niewyrażalny	1.0	n i e v i2 r a Z a l n i2
pan	1.0	p a n
tchnie	1.0	t h n i e
gry	1.0	g r i2
włóczęga	1.0	v w u tS eo5 g a
bylibyśmy	1.0	b i2 l j b i2 sj m i2
one	1.0	o n e
oczyma	1.0	o tS i2 m a
dni	1.0	d n i
skaner	1.0	s k a n e r
silnym	1.0	sj i l n i2 m
podciągaj	1.0	p o d tsj oc5 g a j
zapoznać	1.0	z a p o z n a tsj
kolumn	1.0	k o l u m n
pracowników	1.0	p r a c o v n i k u v
pracujące	1.0	p r a c u j oc5 c e
soli	1.0	s o l j
aktorem	1.0	a k t o r e m
życia-	1.0	Z i2 tsj a e
wielkie	1.0	v i e l k i e
drogę	1.0	d r o g e
wyszywaniu	1.0	v i2 S i2 v a n i u
słowiański	1.0	s w o v i a n~ s k i
wyprawy	1.0	v i2 p r a v i2
okien	1.0	o k i e n
wnętrza	1.0	v n eo5 t S a
doświadczeniami	1.0	d o sj v i a d tS e n i a m i
o	1.0	o
gero	1.0	g e r o
przyjaciółki	1.0	p S i2 j a tsj u w k i
ludźmi	1.0	l u dzj m i
pokoje	1.0	p o k o j e
rzadkości	1.0	Z a t k o sj tsj i
szkolnej	1.0	S k o l n e j
łatwiej	1.0	w a t f i e j
kości	1.0	k o sj tsj i
pójdziemy	1.0	p u j dzj e m i2
szkołę	1.0	S k o w e
problemów	1.0	p r o b l e m u v
jął	1.0	j oc5 w
pozytywnie	1.0	p o z i2 t i2 v n i e
strun	1.0	s t r u n
nieślubny	1.0	n i e sj l u b n i2
skrzą	1.0	s k S oc5
chardina	1.0	h a r d j n a
zacząłem	1.0	z a tS oc5 w e m
sprowadzał	1.0	s p r o v a dz a w
zwierciadłem	1.0	z v i e r tsj a d w e m
maszyny	1.0	m a S i2 n i2
stołku	1.0	s t o w k u
upstrzonym	1.0	u p s t S o n i2 m
palenia	1.0	p a l e n i a
spać	1.0	s p a tsj
nałożysz	1.0	n a w o Z i2 S
miłośników	1.0	m i w o sj n i k u v
obejrzeć	1.0	o b e j Z e tsj
milczeniem	1.0	m i l tS e n i e m
